day,condition,event,stimulus,N,S,R,C,E,A,GRACE,zone,profile,daily_story,values,emotion,risk_notes,recommended_stimulus_llm
22,Baseline,Konflik kecil dengan anak,a_none,79.0,58.0,80.0,84.0,64.0,57.0,71.81,Stable,,,,,,
23,Baseline,Diminta memberi nasihat oleh cucu,a_none,82.0,58.0,84.0,92.0,64.0,59.0,74.85,Stable,,,,,,
24,Baseline,Cucu mengirim foto kegiatan sekolah,a_none,86.0,58.0,90.0,94.0,64.0,61.0,77.55,Stable,,,,,,
25,Baseline,Mendapat undangan kegiatan komunitas,a_none,86.0,58.0,92.0,96.0,70.0,61.0,79.05,Stable,,,,,,
26,Baseline,Mengenang pasangan yang telah meninggal,a_none,83.0,54.0,88.0,96.0,70.0,55.0,76.13,Stable,,,,,,
27,Baseline,Badan terasa lemah,a_none,81.0,54.0,88.0,96.0,68.0,49.0,74.53,Stable,,,,,,
28,Baseline,Hari biasa tanpa kejadian khusus,a_none,80.0,54.0,87.0,95.0,67.0,49.0,73.82,Stable,,,,,,
29,Baseline,Anak tidak menelepon hari ini,a_none,78.0,54.0,81.0,95.0,67.0,46.0,71.73,Stable,,,,,,
30,Baseline,Diminta memberi nasihat oleh cucu,a_none,81.0,54.0,85.0,100.0,67.0,48.0,74.29,Stable,,,,,,
31,Baseline,Menemukan foto lama saat masih bekerja,a_none,87.0,54.0,85.0,100.0,67.0,50.0,75.91,Stable,,,,,,
32,Baseline,Badan terasa lemah,a_none,85.0,54.0,85.0,100.0,65.0,44.0,74.31,Stable,,,,,,
33,Baseline,Anak tidak menelepon hari ini,a_none,83.0,54.0,79.0,100.0,65.0,41.0,72.22,Stable,,,,,,
34,Baseline,Cucu mengirim foto kegiatan sekolah,a_none,87.0,54.0,85.0,100.0,65.0,43.0,74.6,Stable,,,,,,
35,Baseline,Menemukan foto lama saat masih bekerja,a_none,93.0,54.0,85.0,100.0,65.0,45.0,76.22,Stable,,,,,,
36,Baseline,Anak menelepon dengan hangat,a_none,96.0,55.0,93.0,100.0,65.0,48.0,79.07,Stable,,,,,,
37,Baseline,Anak menelepon dengan hangat,a_none,99.0,56.0,100.0,100.0,65.0,51.0,81.72,Stable,,,,,,
38,Baseline,Diminta memberi nasihat oleh cucu,a_none,100.0,56.0,100.0,100.0,65.0,53.0,82.24,Stable,,,,,,
39,Baseline,Anak menelepon dengan hangat,a_none,100.0,57.0,100.0,100.0,65.0,56.0,82.83,Stable,,,,,,
40,Baseline,Menemukan foto lama saat masih bekerja,a_none,100.0,57.0,100.0,100.0,65.0,58.0,83.13,Stable,,,,,,
41,Baseline,Menemukan foto lama saat masih bekerja,a_none,100.0,57.0,100.0,100.0,65.0,60.0,83.43,Stable,,,,,,
42,Baseline,Mengenang pasangan yang telah meninggal,a_none,97.0,53.0,96.0,100.0,65.0,54.0,80.51,Stable,,,,,,
43,Baseline,Badan terasa lemah,a_none,95.0,53.0,96.0,100.0,63.0,48.0,78.91,Stable,,,,,,
44,Baseline,Hari biasa tanpa kejadian khusus,a_none,94.0,53.0,95.0,99.0,62.0,48.0,78.2,Stable,,,,,,
45,Baseline,Mendapat undangan kegiatan komunitas,a_none,94.0,53.0,97.0,100.0,68.0,48.0,79.54,Stable,,,,,,
46,Baseline,Konflik kecil dengan anak,a_none,91.0,51.0,90.0,100.0,68.0,44.0,76.6,Stable,,,,,,
47,Baseline,Anak menelepon dengan hangat,a_none,94.0,52.0,98.0,100.0,68.0,47.0,79.45,Stable,,,,,,
48,Baseline,Diminta memberi nasihat oleh cucu,a_none,97.0,52.0,100.0,100.0,68.0,49.0,80.81,Stable,,,,,,
49,Baseline,Anak menelepon dengan hangat,a_none,100.0,53.0,100.0,100.0,68.0,52.0,82.06,Stable,,,,,,
50,Baseline,Konflik kecil dengan anak,a_none,97.0,51.0,93.0,100.0,68.0,48.0,79.12,Stable,,,,,,
51,Baseline,Badan terasa lemah,a_none,95.0,51.0,93.0,100.0,66.0,42.0,77.52,Stable,,,,,,
52,Baseline,Mengenang pasangan yang telah meninggal,a_none,92.0,47.0,89.0,100.0,66.0,36.0,74.6,Stable,,,,,,
53,Baseline,Menemukan foto lama saat masih bekerja,a_none,98.0,47.0,89.0,100.0,66.0,38.0,76.22,Stable,,,,,,
54,Baseline,Mengenang pasangan yang telah meninggal,a_none,95.0,43.0,85.0,100.0,66.0,32.0,73.3,Stable,,,,,,
55,Baseline,Cucu mengirim foto kegiatan sekolah,a_none,99.0,43.0,91.0,100.0,66.0,34.0,75.68,Stable,,,,,,
56,Baseline,Anak menelepon dengan hangat,a_none,100.0,44.0,99.0,100.0,66.0,37.0,78.09,Stable,,,,,,
57,Baseline,Hari biasa tanpa kejadian khusus,a_none,99.0,44.0,98.0,99.0,65.0,37.0,77.38,Stable,,,,,,
58,Baseline,Cucu mengirim foto kegiatan sekolah,a_none,100.0,44.0,100.0,100.0,65.0,39.0,78.46,Stable,,,,,,
59,Baseline,Badan terasa lemah,a_none,98.0,44.0,100.0,100.0,63.0,33.0,76.86,Stable,,,,,,
60,Baseline,Anak menelepon dengan hangat,a_none,100.0,45.0,100.0,100.0,63.0,36.0,77.89,Stable,,,,,,
61,Baseline,Cucu mengirim foto kegiatan sekolah,a_none,100.0,45.0,100.0,100.0,63.0,38.0,78.19,Stable,,,,,,
62,Baseline,Anak menelepon dengan hangat,a_none,100.0,46.0,100.0,100.0,63.0,41.0,78.78,Stable,,,,,,
63,Baseline,Diminta memberi nasihat oleh cucu,a_none,100.0,46.0,100.0,100.0,63.0,43.0,79.08,Stable,,,,,,
64,Baseline,Badan terasa lemah,a_none,98.0,46.0,100.0,100.0,61.0,37.0,77.48,Stable,,,,,,
65,Baseline,Mendapat undangan kegiatan komunitas,a_none,98.0,46.0,100.0,100.0,67.0,37.0,78.26,Stable,,,,,,
66,Baseline,Menemukan foto lama saat masih bekerja,a_none,100.0,46.0,100.0,100.0,67.0,39.0,79.0,Stable,,,,,,
67,Baseline,Anak tidak menelepon hari ini,a_none,98.0,46.0,94.0,100.0,67.0,36.0,76.91,Stable,,,,,,
68,Baseline,Menemukan foto lama saat masih bekerja,a_none,100.0,46.0,94.0,100.0,67.0,38.0,77.65,Stable,,,,,,
69,Baseline,Menemukan foto lama saat masih bekerja,a_none,100.0,46.0,94.0,100.0,67.0,40.0,77.95,Stable,,,,,,
70,Baseline,Cucu mengirim foto kegiatan sekolah,a_none,100.0,46.0,100.0,100.0,67.0,42.0,79.45,Stable,,,,,,
71,Baseline,Badan terasa lemah,a_none,98.0,46.0,100.0,100.0,65.0,36.0,77.85,Stable,,,,,,
72,Baseline,Anak menelepon dengan hangat,a_none,100.0,47.0,100.0,100.0,65.0,39.0,78.88,Stable,,,,,,
73,Baseline,Mengenang pasangan yang telah meninggal,a_none,97.0,43.0,96.0,100.0,65.0,33.0,75.96,Stable,,,,,,
74,Baseline,Anak tidak menelepon hari ini,a_none,95.0,43.0,90.0,100.0,65.0,30.0,73.87,Stable,,,,,,
75,Baseline,Konflik kecil dengan anak,a_none,92.0,41.0,83.0,100.0,65.0,26.0,70.93,Stable,,,,,,
76,Baseline,Cucu mengirim foto kegiatan sekolah,a_none,96.0,41.0,89.0,100.0,65.0,28.0,73.31,Stable,,,,,,
77,Baseline,Anak tidak menelepon hari ini,a_none,94.0,41.0,83.0,100.0,65.0,25.0,71.22,Stable,,,,,,
78,Baseline,Mendapat undangan kegiatan komunitas,a_none,94.0,41.0,85.0,100.0,71.0,25.0,72.4,Stable,,,,,,
79,Baseline,Diminta memberi nasihat oleh cucu,a_none,97.0,41.0,89.0,100.0,71.0,27.0,74.16,Stable,,,,,,
80,Baseline,Badan terasa lemah,a_none,95.0,41.0,89.0,100.0,69.0,21.0,72.56,Stable,,,,,,
81,Baseline,Konflik kecil dengan anak,a_none,92.0,39.0,82.0,100.0,69.0,17.0,69.62,Vulnerability,,,,,,
82,Baseline,Cucu mengirim foto kegiatan sekolah,a_none,96.0,39.0,88.0,100.0,69.0,19.0,72.0,Stable,,,,,,
83,Baseline,Menemukan foto lama saat masih bekerja,a_none,100.0,39.0,88.0,100.0,69.0,21.0,73.18,Stable,,,,,,
84,Baseline,Hari biasa tanpa kejadian khusus,a_none,99.0,39.0,87.0,99.0,68.0,21.0,72.47,Stable,,,,,,
85,Baseline,Cucu mengirim foto kegiatan sekolah,a_none,100.0,39.0,93.0,100.0,68.0,23.0,74.35,Stable,,,,,,
86,Baseline,Hari biasa tanpa kejadian khusus,a_none,99.0,39.0,92.0,99.0,67.0,23.0,73.64,Stable,,,,,,
87,Baseline,Menemukan foto lama saat masih bekerja,a_none,100.0,39.0,92.0,100.0,67.0,25.0,74.32,Stable,,,,,,
88,Baseline,Diminta memberi nasihat oleh cucu,a_none,100.0,39.0,96.0,100.0,67.0,27.0,75.42,Stable,,,,,,
89,Baseline,Badan terasa lemah,a_none,98.0,39.0,96.0,100.0,65.0,21.0,73.82,Stable,,,,,,
1,Story Only,Anak menelepon dengan hangat,a_none,76.0,71.0,78.0,70.0,70.0,74.0,73.66,Stable,,,,,,
2,Story Only,Hari biasa tanpa kejadian khusus,a_none,78.0,71.0,77.0,69.0,69.0,75.0,73.76,Stable,,,,,,
3,Story Only,Badan terasa lemah,a_none,79.0,71.0,77.0,69.0,67.0,70.0,72.97,Stable,,,,,,
4,Story Only,Cucu mengirim foto kegiatan sekolah,a_none,86.0,71.0,83.0,71.0,67.0,73.0,76.48,Stable,,,,,,
5,Story Only,Cucu mengirim foto kegiatan sekolah,a_none,93.0,71.0,89.0,73.0,67.0,76.0,79.99,Stable,,,,,,
6,Story Only,Anak tidak menelepon hari ini,a_none,94.0,71.0,83.0,73.0,67.0,74.0,78.71,Stable,,,,,,
7,Story Only,Anak menelepon dengan hangat,a_none,100.0,72.0,91.0,73.0,67.0,78.0,82.37,Stable,,,,,,
8,Story Only,Konflik kecil dengan anak,a_none,100.0,70.0,84.0,73.0,67.0,75.0,80.24,Stable,,,,,,
9,Story Only,Anak menelepon dengan hangat,a_none,100.0,71.0,92.0,73.0,67.0,79.0,82.58,Stable,,,,,,
10,Story Only,Mengenang pasangan yang telah meninggal,a_none,100.0,67.0,88.0,73.0,67.0,74.0,80.47,Stable,,,,,,
11,Story Only,Diminta memberi nasihat oleh cucu,a_none,100.0,67.0,92.0,81.0,67.0,77.0,83.0,Stable,,,,,,
12,Story Only,Hari biasa tanpa kejadian khusus,a_none,100.0,67.0,91.0,80.0,66.0,78.0,82.66,Stable,,,,,,
13,Story Only,Hari biasa tanpa kejadian khusus,a_none,100.0,67.0,90.0,79.0,65.0,79.0,82.32,Stable,,,,,,
14,Story Only,Anak menelepon dengan hangat,a_none,100.0,68.0,98.0,79.0,65.0,83.0,84.66,Stable,,,,,,
15,Story Only,Cucu mengirim foto kegiatan sekolah,a_none,100.0,68.0,100.0,81.0,65.0,86.0,85.83,Flourishing,,,,,,
16,Story Only,Cucu mengirim foto kegiatan sekolah,a_none,100.0,68.0,100.0,83.0,65.0,89.0,86.6,Flourishing,,,,,,
17,Story Only,Konflik kecil dengan anak,a_none,100.0,66.0,93.0,83.0,65.0,86.0,84.47,Stable,,,,,,
18,Story Only,Mengenang pasangan yang telah meninggal,a_none,100.0,62.0,89.0,83.0,65.0,81.0,82.36,Stable,,,,,,
19,Story Only,Hari biasa tanpa kejadian khusus,a_none,100.0,62.0,88.0,82.0,64.0,82.0,82.02,Stable,,,,,,
20,Story Only,Konflik kecil dengan anak,a_none,100.0,60.0,81.0,82.0,64.0,79.0,79.89,Stable,,,,,,
21,Story Only,Cucu mengirim foto kegiatan sekolah,a_none,100.0,60.0,87.0,84.0,64.0,82.0,81.86,Stable,,,,,,
22,Story Only,Konflik kecil dengan anak,a_none,100.0,58.0,80.0,84.0,64.0,79.0,79.73,Stable,,,,,,
23,Story Only,Diminta memberi nasihat oleh cucu,a_none,100.0,58.0,84.0,92.0,64.0,82.0,82.26,Stable,,,,,,
24,Story Only,Cucu mengirim foto kegiatan sekolah,a_none,100.0,58.0,90.0,94.0,64.0,85.0,84.23,Stable,,,,,,
25,Story Only,Mendapat undangan kegiatan komunitas,a_none,100.0,58.0,92.0,96.0,70.0,86.0,85.88,Flourishing,,,,,,
26,Story Only,Mengenang pasangan yang telah meninggal,a_none,100.0,54.0,88.0,96.0,70.0,81.0,83.77,Stable,,,,,,
27,Story Only,Badan terasa lemah,a_none,100.0,54.0,88.0,96.0,68.0,76.0,82.76,Stable,,,,,,
28,Story Only,Hari biasa tanpa kejadian khusus,a_none,100.0,54.0,87.0,95.0,67.0,77.0,82.42,Stable,,,,,,
29,Story Only,Anak tidak menelepon hari ini,a_none,100.0,54.0,81.0,95.0,67.0,75.0,80.92,Stable,,,,,,
30,Story Only,Diminta memberi nasihat oleh cucu,a_none,100.0,54.0,85.0,100.0,67.0,78.0,82.97,Stable,,,,,,
31,Story Only,Menemukan foto lama saat masih bekerja,a_none,100.0,54.0,85.0,100.0,67.0,81.0,83.42,Stable,,,,,,
32,Story Only,Badan terasa lemah,a_none,100.0,54.0,85.0,100.0,65.0,76.0,82.41,Stable,,,,,,
33,Story Only,Anak tidak menelepon hari ini,a_none,100.0,54.0,79.0,100.0,65.0,74.0,80.91,Stable,,,,,,
34,Story Only,Cucu mengirim foto kegiatan sekolah,a_none,100.0,54.0,85.0,100.0,65.0,77.0,82.56,Stable,,,,,,
35,Story Only,Menemukan foto lama saat masih bekerja,a_none,100.0,54.0,85.0,100.0,65.0,80.0,83.01,Stable,,,,,,
36,Story Only,Anak menelepon dengan hangat,a_none,100.0,55.0,93.0,100.0,65.0,84.0,85.35,Flourishing,,,,,,
37,Story Only,Anak menelepon dengan hangat,a_none,100.0,56.0,100.0,100.0,65.0,88.0,87.49,Flourishing,,,,,,
38,Story Only,Diminta memberi nasihat oleh cucu,a_none,100.0,56.0,100.0,100.0,65.0,91.0,87.94,Flourishing,,,,,,
39,Story Only,Anak menelepon dengan hangat,a_none,100.0,57.0,100.0,100.0,65.0,95.0,88.68,Flourishing,,,,,,
40,Story Only,Menemukan foto lama saat masih bekerja,a_none,100.0,57.0,100.0,100.0,65.0,98.0,89.13,Flourishing,,,,,,
41,Story Only,Menemukan foto lama saat masih bekerja,a_none,100.0,57.0,100.0,100.0,65.0,100.0,89.43,Flourishing,,,,,,
42,Story Only,Mengenang pasangan yang telah meninggal,a_none,100.0,53.0,96.0,100.0,65.0,95.0,87.32,Flourishing,,,,,,
43,Story Only,Badan terasa lemah,a_none,100.0,53.0,96.0,100.0,63.0,90.0,86.31,Flourishing,,,,,,
44,Story Only,Hari biasa tanpa kejadian khusus,a_none,100.0,53.0,95.0,99.0,62.0,91.0,85.97,Flourishing,,,,,,
45,Story Only,Mendapat undangan kegiatan komunitas,a_none,100.0,53.0,97.0,100.0,68.0,92.0,87.46,Flourishing,,,,,,
46,Story Only,Konflik kecil dengan anak,a_none,100.0,51.0,90.0,100.0,68.0,89.0,85.33,Flourishing,,,,,,
47,Story Only,Anak menelepon dengan hangat,a_none,100.0,52.0,98.0,100.0,68.0,93.0,87.67,Flourishing,,,,,,
48,Story Only,Diminta memberi nasihat oleh cucu,a_none,100.0,52.0,100.0,100.0,68.0,96.0,88.52,Flourishing,,,,,,
49,Story Only,Anak menelepon dengan hangat,a_none,100.0,53.0,100.0,100.0,68.0,100.0,89.26,Flourishing,,,,,,
50,Story Only,Konflik kecil dengan anak,a_none,100.0,51.0,93.0,100.0,68.0,97.0,87.13,Flourishing,,,,,,
51,Story Only,Badan terasa lemah,a_none,100.0,51.0,93.0,100.0,66.0,92.0,86.12,Flourishing,,,,,,
52,Story Only,Mengenang pasangan yang telah meninggal,a_none,100.0,47.0,89.0,100.0,66.0,87.0,84.01,Stable,,,,,,
53,Story Only,Menemukan foto lama saat masih bekerja,a_none,100.0,47.0,89.0,100.0,66.0,90.0,84.46,Stable,,,,,,
54,Story Only,Mengenang pasangan yang telah meninggal,a_none,100.0,43.0,85.0,100.0,66.0,85.0,82.35,Stable,,,,,,
55,Story Only,Cucu mengirim foto kegiatan sekolah,a_none,100.0,43.0,91.0,100.0,66.0,88.0,84.0,Stable,,,,,,
56,Story Only,Anak menelepon dengan hangat,a_none,100.0,44.0,99.0,100.0,66.0,92.0,86.34,Flourishing,,,,,,
57,Story Only,Hari biasa tanpa kejadian khusus,a_none,100.0,44.0,98.0,99.0,65.0,93.0,86.0,Flourishing,,,,,,
58,Story Only,Cucu mengirim foto kegiatan sekolah,a_none,100.0,44.0,100.0,100.0,65.0,96.0,87.01,Flourishing,,,,,,
59,Story Only,Badan terasa lemah,a_none,100.0,44.0,100.0,100.0,63.0,91.0,86.0,Flourishing,,,,,,
60,Story Only,Anak menelepon dengan hangat,a_none,100.0,45.0,100.0,100.0,63.0,95.0,86.74,Flourishing,,,,,,
61,Story Only,Cucu mengirim foto kegiatan sekolah,a_none,100.0,45.0,100.0,100.0,63.0,98.0,87.19,Flourishing,,,,,,
62,Story Only,Anak menelepon dengan hangat,a_none,100.0,46.0,100.0,100.0,63.0,100.0,87.63,Flourishing,,,,,,
63,Story Only,Diminta memberi nasihat oleh cucu,a_none,100.0,46.0,100.0,100.0,63.0,100.0,87.63,Flourishing,,,,,,
64,Story Only,Badan terasa lemah,a_none,100.0,46.0,100.0,100.0,61.0,95.0,86.62,Flourishing,,,,,,
65,Story Only,Mendapat undangan kegiatan komunitas,a_none,100.0,46.0,100.0,100.0,67.0,96.0,87.55,Flourishing,,,,,,
66,Story Only,Menemukan foto lama saat masih bekerja,a_none,100.0,46.0,100.0,100.0,67.0,99.0,88.0,Flourishing,,,,,,
67,Story Only,Anak tidak menelepon hari ini,a_none,100.0,46.0,94.0,100.0,67.0,97.0,86.5,Flourishing,,,,,,
68,Story Only,Menemukan foto lama saat masih bekerja,a_none,100.0,46.0,94.0,100.0,67.0,100.0,86.95,Flourishing,,,,,,
69,Story Only,Menemukan foto lama saat masih bekerja,a_none,100.0,46.0,94.0,100.0,67.0,100.0,86.95,Flourishing,,,,,,
70,Story Only,Cucu mengirim foto kegiatan sekolah,a_none,100.0,46.0,100.0,100.0,67.0,100.0,88.15,Flourishing,,,,,,
71,Story Only,Badan terasa lemah,a_none,100.0,46.0,100.0,100.0,65.0,95.0,87.14,Flourishing,,,,,,
72,Story Only,Anak menelepon dengan hangat,a_none,100.0,47.0,100.0,100.0,65.0,99.0,87.88,Flourishing,,,,,,
73,Story Only,Mengenang pasangan yang telah meninggal,a_none,100.0,43.0,96.0,100.0,65.0,94.0,85.77,Flourishing,,,,,,
74,Story Only,Anak tidak menelepon hari ini,a_none,100.0,43.0,90.0,100.0,65.0,92.0,84.27,Stable,,,,,,
75,Story Only,Konflik kecil dengan anak,a_none,100.0,41.0,83.0,100.0,65.0,89.0,82.14,Stable,,,,,,
76,Story Only,Cucu mengirim foto kegiatan sekolah,a_none,100.0,41.0,89.0,100.0,65.0,92.0,83.79,Stable,,,,,,
77,Story Only,Anak tidak menelepon hari ini,a_none,100.0,41.0,83.0,100.0,65.0,90.0,82.29,Stable,,,,,,
78,Story Only,Mendapat undangan kegiatan komunitas,a_none,100.0,41.0,85.0,100.0,71.0,91.0,83.62,Stable,,,,,,
79,Story Only,Diminta memberi nasihat oleh cucu,a_none,100.0,41.0,89.0,100.0,71.0,94.0,84.87,Stable,,,,,,
80,Story Only,Badan terasa lemah,a_none,100.0,41.0,89.0,100.0,69.0,89.0,83.86,Stable,,,,,,
81,Story Only,Konflik kecil dengan anak,a_none,100.0,39.0,82.0,100.0,69.0,86.0,81.73,Stable,,,,,,
82,Story Only,Cucu mengirim foto kegiatan sekolah,a_none,100.0,39.0,88.0,100.0,69.0,89.0,83.38,Stable,,,,,,
83,Story Only,Menemukan foto lama saat masih bekerja,a_none,100.0,39.0,88.0,100.0,69.0,92.0,83.83,Stable,,,,,,
84,Story Only,Hari biasa tanpa kejadian khusus,a_none,100.0,39.0,87.0,99.0,68.0,93.0,83.49,Stable,,,,,,
85,Story Only,Cucu mengirim foto kegiatan sekolah,a_none,100.0,39.0,93.0,100.0,68.0,96.0,85.3,Flourishing,,,,,,
86,Story Only,Hari biasa tanpa kejadian khusus,a_none,100.0,39.0,92.0,99.0,67.0,97.0,84.96,Stable,,,,,,
87,Story Only,Menemukan foto lama saat masih bekerja,a_none,100.0,39.0,92.0,100.0,67.0,100.0,85.57,Flourishing,,,,,,
88,Story Only,Diminta memberi nasihat oleh cucu,a_none,100.0,39.0,96.0,100.0,67.0,100.0,86.37,Flourishing,,,,,,
89,Story Only,Badan terasa lemah,a_none,100.0,39.0,96.0,100.0,65.0,95.0,85.36,Flourishing,,,,,,
1,Story + Stimulus,Anak menelepon dengan hangat,a_rel,77.0,71.0,83.0,70.0,70.0,76.0,75.18,Stable,,,,,,
2,Story + Stimulus,Hari biasa tanpa kejadian khusus,a_nar,83.0,71.0,82.0,69.0,69.0,78.0,76.31,Stable,,,,,,
3,Story + Stimulus,Badan terasa lemah,a_prac,84.0,71.0,82.0,69.0,68.0,78.0,76.4,Stable,,,,,,
4,Story + Stimulus,Cucu mengirim foto kegiatan sekolah,a_nar,95.0,71.0,88.0,71.0,68.0,82.0,80.94,Stable,,,,,,
5,Story + Stimulus,Cucu mengirim foto kegiatan sekolah,a_nar,100.0,71.0,94.0,73.0,68.0,86.0,84.16,Stable,,,,,,
6,Story + Stimulus,Anak tidak menelepon hari ini,a_rel,100.0,71.0,93.0,73.0,68.0,86.0,83.96,Stable,,,,,,
7,Story + Stimulus,Anak menelepon dengan hangat,a_rel,100.0,72.0,100.0,73.0,68.0,92.0,86.4,Flourishing,,,,,,
8,Story + Stimulus,Konflik kecil dengan anak,a_rel,100.0,70.0,98.0,73.0,68.0,91.0,85.57,Flourishing,,,,,,
9,Story + Stimulus,Anak menelepon dengan hangat,a_rel,100.0,71.0,100.0,73.0,68.0,97.0,87.01,Flourishing,,,,,,
10,Story + Stimulus,Mengenang pasangan yang telah meninggal,a_spi,100.0,72.0,96.0,73.0,68.0,95.0,86.05,Flourishing,,,,,,
11,Story + Stimulus,Diminta memberi nasihat oleh cucu,a_con,100.0,72.0,100.0,87.0,68.0,98.0,89.54,Flourishing,,,,,,
12,Story + Stimulus,Hari biasa tanpa kejadian khusus,a_nar,100.0,72.0,99.0,86.0,67.0,100.0,89.35,Flourishing,,,,,,
13,Story + Stimulus,Hari biasa tanpa kejadian khusus,a_nar,100.0,72.0,98.0,85.0,66.0,100.0,88.86,Flourishing,,,,,,
14,Story + Stimulus,Anak menelepon dengan hangat,a_rel,100.0,73.0,100.0,85.0,66.0,100.0,89.4,Flourishing,,,,,,
15,Story + Stimulus,Cucu mengirim foto kegiatan sekolah,a_nar,100.0,73.0,100.0,87.0,66.0,100.0,89.72,Flourishing,,,,,,
16,Story + Stimulus,Cucu mengirim foto kegiatan sekolah,a_nar,100.0,73.0,100.0,89.0,66.0,100.0,90.04,Flourishing,,,,,,
17,Story + Stimulus,Konflik kecil dengan anak,a_rel,100.0,71.0,98.0,89.0,66.0,99.0,89.21,Flourishing,,,,,,
18,Story + Stimulus,Mengenang pasangan yang telah meninggal,a_spi,100.0,72.0,94.0,89.0,66.0,97.0,88.25,Flourishing,,,,,,
19,Story + Stimulus,Hari biasa tanpa kejadian khusus,a_nar,100.0,72.0,93.0,88.0,65.0,99.0,88.06,Flourishing,,,,,,
20,Story + Stimulus,Konflik kecil dengan anak,a_rel,100.0,70.0,91.0,88.0,65.0,98.0,87.23,Flourishing,,,,,,
21,Story + Stimulus,Cucu mengirim foto kegiatan sekolah,a_nar,100.0,70.0,97.0,90.0,65.0,100.0,89.05,Flourishing,,,,,,
22,Story + Stimulus,Konflik kecil dengan anak,a_rel,100.0,68.0,95.0,90.0,65.0,99.0,88.22,Flourishing,,,,,,
23,Story + Stimulus,Diminta memberi nasihat oleh cucu,a_con,100.0,68.0,100.0,100.0,65.0,100.0,90.97,Flourishing,,,,,,
24,Story + Stimulus,Cucu mengirim foto kegiatan sekolah,a_nar,100.0,68.0,100.0,100.0,65.0,100.0,90.97,Flourishing,,,,,,
25,Story + Stimulus,Mendapat undangan kegiatan komunitas,a_com,100.0,68.0,100.0,100.0,76.0,100.0,92.4,Flourishing,,,,,,
26,Story + Stimulus,Mengenang pasangan yang telah meninggal,a_spi,100.0,69.0,96.0,100.0,76.0,98.0,91.44,Flourishing,,,,,,
27,Story + Stimulus,Badan terasa lemah,a_prac,100.0,69.0,96.0,100.0,75.0,98.0,91.31,Flourishing,,,,,,
28,Story + Stimulus,Hari biasa tanpa kejadian khusus,a_nar,100.0,69.0,95.0,99.0,74.0,100.0,91.12,Flourishing,,,,,,
29,Story + Stimulus,Anak tidak menelepon hari ini,a_rel,100.0,69.0,94.0,99.0,74.0,100.0,90.92,Flourishing,,,,,,
30,Story + Stimulus,Diminta memberi nasihat oleh cucu,a_con,100.0,69.0,99.0,100.0,74.0,100.0,92.08,Flourishing,,,,,,
